DES,HBA,HBD,MR,T/K,Dexp
DES2,ChCl,EG,1.2,308.57,1.1163
DES2,ChCl,EG,1.2,312.56,1.1142
DES2,ChCl,EG,1.2,313.52,1.1137
DES2,ChCl,EG,1.2,317.27,1.1116
DES2,ChCl,EG,1.2,319.62,1.1101
DES2,ChCl,EG,1.2,324.5,1.1074
DES2,ChCl,EG,1.2,326.62,1.1063
DES2,ChCl,EG,1.2,329.95,1.1043
DES2,ChCl,EG,1.2,337.49,1.0997
DES2,ChCl,EG,1.2,339.68,1.0984
DES2,ChCl,EG,1.2,343.76,1.096
DES2,ChCl,EG,1.2,349.02,1.0929
DES2,ChCl,EG,1.2,353.96,1.0898
DES3,ChCl,EG,1.3,308.55,1.1123
DES3,ChCl,EG,1.3,317.94,1.1067
DES3,ChCl,EG,1.3,320.81,1.1049
DES3,ChCl,EG,1.3,327.06,1.1014
DES3,ChCl,EG,1.3,329.34,1.1001
DES3,ChCl,EG,1.3,334.09,1.0971
DES3,ChCl,EG,1.3,337.1,1.0954
DES3,ChCl,EG,1.3,342.46,1.0925
DES3,ChCl,EG,1.3,348.21,1.0896
DES3,ChCl,EG,1.3,354.19,1.0861
DES4,ChCl,EG,1.4,308.95,1.1128
DES4,ChCl,EG,1.4,316.09,1.1085
DES4,ChCl,EG,1.4,317.85,1.1074
DES4,ChCl,EG,1.4,323.62,1.1042
DES4,ChCl,EG,1.4,329.07,1.1008
DES4,ChCl,EG,1.4,333.25,1.0983
DES4,ChCl,EG,1.4,338.57,1.0952
DES4,ChCl,EG,1.4,340.85,1.0939
DES4,ChCl,EG,1.4,344.08,1.0921
DES4,ChCl,EG,1.4,350.64,1.0881
DES4,ChCl,EG,1.4,354.19,1.0862
DES5,ChCl,EG,1.5,308.93,1.1098
DES5,ChCl,EG,1.5,310.93,1.1083
DES5,ChCl,EG,1.5,315.51,1.1055
DES5,ChCl,EG,1.5,317.76,1.1043
DES5,ChCl,EG,1.5,322.41,1.1016
DES5,ChCl,EG,1.5,327.42,1.0987
DES5,ChCl,EG,1.5,332.36,1.0957
DES5,ChCl,EG,1.5,337.1,1.0932
DES5,ChCl,EG,1.5,339.59,1.0916
DES5,ChCl,EG,1.5,343,1.0896
DES5,ChCl,EG,1.5,346.77,1.0875
DES5,ChCl,EG,1.5,349.02,1.0863
DES5,ChCl,EG,1.5,353.64,1.0836
DES6,ChCl,Gly,1.1,309.03,1.1519
DES6,ChCl,Gly,1.1,311.39,1.1504
DES6,ChCl,Gly,1.1,319.47,1.1459
DES6,ChCl,Gly,1.1,326.26,1.1419
DES6,ChCl,Gly,1.1,329.86,1.1399
DES6,ChCl,Gly,1.1,336.61,1.1362
DES6,ChCl,Gly,1.1,341.88,1.1333
DES6,ChCl,Gly,1.1,345.98,1.1312
DES6,ChCl,Gly,1.1,353.42,1.1270
DES7,ChCl,Gly,1.2,308.38,1.1702
DES7,ChCl,Gly,1.2,313.47,1.1676
DES7,ChCl,Gly,1.2,315.42,1.1664
DES7,ChCl,Gly,1.2,320.24,1.1639
