Supplementary data,,,,,
Table-1S Synthesized DESs with molar ratio and phase at room temperature,,,,,
DES,HBA,HBD,Molar ratio (HBA:HBD),Phase,
DES-1,ChCl,EG,1:1,Solid,
DES-2,ChCl,EG,1:2,Liquid,
DES-3,ChCl,EG,1:3,Liquid,
DES-4,ChCl,EG,1:4,Liquid,
DES-5,ChCl,EG,1:5,Liquid,
DES-6,ChCl,Gly,1:1,Semi solid,
DES-7,ChCl,Gly,1:2,Liquid,
DES-8,ChCl,Gly,1:3,Liquid,
DES-9,ChCl,Gly,1:4,Liquid,
DES-10,ChCl,Gly,1:5,Liquid,
DES-11,ChCl,TEG,1:1,Semi solid,
DES-12,ChCl,TEG,1:2,Liquid,
DES-13,ChCl,TEG,1:3,Liquid,
DES-14,ChCl,TEG,1:4,Liquid,
DES-15,ChCl,TEG,1:5,Liquid,
DES-16,MTPBr,EG,1:1,Solid,
DES-17,MTPBr,EG,1:2,Liquid,
DES-18,MTPBr,EG,1:3,Liquid,
DES-19,MTPBr,EG,1:4,Liquid,
DES-20,MTPBr,EG,1:5,Liquid,
DES-21,MTPBr,Gly,1:1,Solid,
DES-22,MTPBr,Gly,1:2,Liquid with crystals,
DES-23,MTPBr,Gly,1:3,Liquid,
DES-24,MTPBr,Gly,1:4,Liquid,
DES-25,MTPBr,Gly,1:5,Liquid,
DES-26,MTPBr,TEG,1:1,Solid,
DES-27,MTPBr,TEG,1:2,Liquid,
DES-28,MTPBr,TEG,1:3,Liquid,
DES-29,MTPBr,TEG,1:4,Liquid,
DES-30,MTPBr,TEG,1:5,Liquid,
DES-31,TBABr,EG,1:1,Solid,
DES-32,TBABr,EG,1:2,Liquid,
DES-33,TBABr,EG,1:3,Liquid,
DES-34,TBABr,EG,1:4,Liquid,
DES-35,TBABr,EG,1:5,Liquid,
DES-36,TBABr,Gly,1:1,Liquid,
DES-37,TBABr,Gly,1:2,Liquid,
DES-38,TBABr,Gly,1:3,Liquid,
DES-39,TBABr,Gly,1:4,Liquid,
DES-40,TBABr,Gly,1:5,Liquid,
DES-41,TBABr,TEG,1:1,Liquid,
DES-42,TBABr,TEG,1:2,Liquid,
DES-43,TBABr,TEG,1:3,Liquid,
DES-44,TBABr,TEG,1:4,Liquid,
DES-45,TBABr,TEG,1:5,Liquid,
